frame_idx,elapsed_s,fps,avg_fps,num_objetos,target_id,target_label,target_color,target_status,target_matches,target_inliers,target_inlier_ratio,dx_px,dy_px,zona_central,cmd_gpio,capture_path
176,83.5869,2.1531,2.2873,1,22,G22,Verde,SIN MATCH,0,0,0.0000,-334,38,FUERA,LEFT,
177,84.0539,2.1410,2.2865,2,23,G23,Verde,SIN MATCH,0,0,0.0000,-66,94,FUERA,LEFT_DOWN,
178,84.5225,2.1343,2.2857,3,24,G24,Verde,SIN MATCH,0,0,0.0000,50,85,FUERA,DOWN,
179,84.9862,2.1567,2.2849,3,24,G24,Verde,SIN MATCH,0,0,0.0000,96,90,FUERA,RIGHT_DOWN,
180,85.4632,2.0962,2.2839,4,25,G25,Verde,SIN MATCH,0,0,0.0000,77,-2,FUERA,RIGHT,
181,85.9237,2.1716,2.2833,4,25,G25,Verde,SIN MATCH,0,0,0.0000,41,9,DENTRO,CENTER,captures/cap_000181_085.92s_G25_Verde.png
182,86.3878,2.1545,2.2826,4,25,G25,Verde,SIN MATCH,0,0,0.0000,-11,12,DENTRO,CENTER,
183,86.8552,2.1396,2.2818,4,25,G25,Verde,SIN MATCH,0,0,0.0000,-23,9,DENTRO,CENTER,
184,87.3551,2.0005,2.2803,4,25,G25,Verde,SIN MATCH,0,0,0.0000,-15,4,DENTRO,CENTER,
185,87.7860,2.3210,2.2805,4,25,G25,Verde,SIN MATCH,0,0,0.0000,-9,14,DENTRO,CENTER,
186,88.2558,2.1283,2.2797,4,23,G23,Verde,SIN MATCH,0,0,0.0000,-75,31,FUERA,LEFT,
187,88.7239,2.1363,2.2789,3,23,G23,Verde,SIN MATCH,0,0,0.0000,-46,19,DENTRO,CENTER,captures/cap_000187_088.72s_G23_Verde.png
188,89.1873,2.1579,2.2782,3,23,G23,Verde,SIN MATCH,0,0,0.0000,-29,19,DENTRO,CENTER,
189,89.6546,2.1400,2.2775,3,23,G23,Verde,SIN MATCH,0,0,0.0000,-18,9,DENTRO,CENTER,
190,90.1230,2.1350,2.2768,2,23,G23,Verde,SIN MATCH,0,0,0.0000,-16,8,DENTRO,CENTER,
